#############################################;;;;;;;;;;;;;;x
#State Localisations - Africa;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
ALD_1708;Constantine;;;;;;;;;;;;;x;;
TRI_1734;Cyrenaica;;;;;;;;;;;;;x;;
TRI_1731;Tripolitania;;;;;;;;;;;;;x;;
TRI_1738;Libya;;;;;;;;;;;;;x;;
EGY_1752;Western Desert;;;;;;;;;;;;;x;;
EGY_1745;Lower Egypt;;;;;;;;;;;;;x;;
EGY_1756;Sinai;;;;;;;;;;;;;x;;
EGY_1765;Middle Egypt;;;;;;;;;;;;;x;;
EGY_1770;Red Sea Coast;;;;;;;;;;;;;x;;
EGY_1767;Upper Egypt;;;;;;;;;;;;;x;;
EGY_1835;Dongola;;;;;;;;;;;;;x;;
EGY_1827;Sudan;;;;;;;;;;;;;x;;
MAD_2115;Merina;;;;;;;;;;;;;x;;
MAD_2119;Betsimisaraka;;;;;;;;;;;;;x;;
MAD_2122;Sakalava;;;;;;;;;;;;;x;;
#############################################;;;;;;;;;;;;;;x
#State Localisations - Arabia;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
YEM_1173;Hadramaut;;;;;;;;;;;;;x;;
YEM_1178;Yemen;;;;;;;;;;;;;x;;
YEM_1412;Aden;;;;;;;;;;;;;x;;
NEJ_1160;Jabal Shammar;;;;;;;;;;;;;x;;
NEJ_1157;Nejd;;;;;;;;;;;;;x;;
NEJ_1164;Al Hasa;;;;;;;;;;;;;x;;
#############################################;;;;;;;;;;;;;;x
#State Localisations - Pacific;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
HAW_658;Hawaiian Islands;;;;;;;;;;;;;x;;
NET_1454;Western New Guinea;;;;;;;;;;;;;x;;
USA_2623;Midway;;;;;;;;;;;;;x;;
USA_2524;Wake Island;;;;;;;;;;;;;x;;
SPA_2518;Marianas Islands;;;;;;;;;;;;;x;;
GER_2519;Caroline Islands;;;;;;;;;;;;;x;;
ENG_2522;Marshall and Gilbert Islands;;;;;;;;;;;;;x;;
GER_2537;Bismarck Archipelago;;;;;;;;;;;;;x;;
ENG_2534;Solomon Islands;;;;;;;;;;;;;x;;
FRA_1097;New Caledonia;;;;;;;;;;;;;x;;
ENG_2454;Fiji;;;;;;;;;;;;;x;;
USA_2543;Samoa;;;;;;;;;;;;;x;;
FRA_801;Eastern Polynesia;;;;;;;;;;;;;x;;
NZL_2548;Niue and Tokelau;;;;;;;;;;;;;x;;
ENG_2552;Pitcairn Islands;;;;;;;;;;;;;x;;
ENG_2540;Tonga and the Cook Islands;;;;;;;;;;;;;x;;
#############################################;;;;;;;;;;;;;;x
#State Localisations - East Indies;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
ATJ_1405;Banda Aceh;;;;;;;;;;;;;x;;
NET_1398;Jambi;;;;;;;;;;;;;x;;
NET_1399;Palembang;;;;;;;;;;;;;x;;
NET_1426;Pontianak;;;;;;;;;;;;;x;;
NET_1423;Banjarmasin;;;;;;;;;;;;;x;;
NET_1414;West Java;;;;;;;;;;;;;x;;
NET_1417;East Java;;;;;;;;;;;;;x;;
NET_1430;Sulawesi;;;;;;;;;;;;;x;;
BAL_1438;Lesser Sundas;;;;;;;;;;;;;x;;
POR_1446;Timor;;;;;;;;;;;;;x;;
NET_1449;Moluccas;;;;;;;;;;;;;x;;
#############################################;;;;;;;;;;;;;;x
#State Localisations - Europe;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
ENG_854;Malta;;;;;;;;;;;;;x;;
AUS_2358;Vojvodina;;;;;;;;;;;;;x;;
#############################################;;;;;;;;;;;;;;x
#State Localisations - Europe;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
HAN_538;Hannover;;;;;;;;;;;;;x;;
HAN_536;Hannover-Brunswick;;;;;;;;;;;;;x;;
PRU_578;Mittelrhein;;;;;;;;;;;;;x;;
#############################################;;;;;;;;;;;;;;x
#State Localisations - China;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
CHI_1481;Port Arthur;;;;;;;;;;;;;x;;
CHI_1569;Weihaiwei;;;;;;;;;;;;;x;;
CHI_1566;Qingdao;;;;;;;;;;;;;x;;
CHI_1538;Shanghai;;;;;;;;;;;;;x;;
CHI_1606;Jiaxing;;;;;;;;;;;;;x;;
CHI_1608;Ningbo;;;;;;;;;;;;;x;;
CHI_1501;Hainan;;;;;;;;;;;;;x;;
#############################################;;;;;;;;;;;;;;x
#State Localisations - Central America;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
UCA_2192;San Salvador;;;;;;;;;;;;;x;;
#############################################;;;;;;;;;;;;;;x
#State Localisations - Mexico;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
MEX_2137;Sonora y Baja;;;;;;;;;;;;;x;;
MEX_2166;Sinaloa y Jalisco;;;;;;;;;;;;;x;;
MEX_2158;Zacatecas;;;;;;;;;;;;;x;;
MEX_2159;San Luis Potosi;;;;;;;;;;;;;x;;
MEX_2151;Coahuila y Nuevo León;;;;;;;;;;;;;x;;
MEX_2153;Durango;;;;;;;;;;;;;x;;
MEX_2150;Veracruz y Tamaulipas;;;;;;;;;;;;;x;;
MEX_2179;Guerrero y Michoacán;;;;;;;;;;;;;x;;
MEX_2172;México y Puebla;;;;;;;;;;;;;x;;
MEX_2177;Oaxaca y Chiapas;;;;;;;;;;;;;x;;
